seed: 502
CheapNet params # : 1390215
Best model saved at epoch 1 with val rmse: 1.5496171
Epoch: 048, Train RMSE: 0.8241706, Val RMSE: 1.3009480, Pearson R: 0.7544467, Spearman R: 0.7600795
Epoch: 049, Train RMSE: 0.7889384, Val RMSE: 1.3735982, Pearson R: 0.7262635, Spearman R: 0.7310066
Epoch: 050, Train RMSE: 0.7990893, Val RMSE: 1.3999804, Pearson R: 0.7066990, Spearman R: 0.7101959
Epoch: 051, Train RMSE: 0.7700433, Val RMSE: 1.3604199, Pearson R: 0.7265759, Spearman R: 0.7347698
Epoch: 052, Train RMSE: 0.7836955, Val RMSE: 1.3734136, Pearson R: 0.7260053, Spearman R: 0.7307964
Epoch: 053, Train RMSE: 0.7621569, Val RMSE: 1.2875864, Pearson R: 0.7559345, Spearman R: 0.7629027
Epoch: 054, Train RMSE: 0.7913806, Val RMSE: 1.3141200, Pearson R: 0.7520174, Spearman R: 0.7646074
Epoch: 055, Train RMSE: 0.7740404, Val RMSE: 1.3761560, Pearson R: 0.7416081, Spearman R: 0.7504433
Epoch: 056, Train RMSE: 0.7421705, Val RMSE: 1.4701100, Pearson R: 0.7217463, Spearman R: 0.7295530
Epoch: 057, Train RMSE: 0.7414904, Val RMSE: 1.3902209, Pearson R: 0.7217576, Spearman R: 0.7286704
Epoch: 058, Train RMSE: 0.7198225, Val RMSE: 1.4285949, Pearson R: 0.7411560, Spearman R: 0.7539799
Epoch: 059, Train RMSE: 0.7137299, Val RMSE: 1.3318944, Pearson R: 0.7329095, Spearman R: 0.7363187
Epoch: 060, Train RMSE: 0.7538486, Val RMSE: 1.4233525, Pearson R: 0.7368268, Spearman R: 0.7482783
Epoch: 061, Train RMSE: 0.7646173, Val RMSE: 1.3613297, Pearson R: 0.7151440, Spearman R: 0.7358755
Epoch: 062, Train RMSE: 0.7169138, Val RMSE: 1.3481098, Pearson R: 0.7403850, Spearman R: 0.7535518
Epoch: 063, Train RMSE: 0.7429272, Val RMSE: 1.3869874, Pearson R: 0.7103738, Spearman R: 0.7283760
Epoch: 064, Train RMSE: 0.7483176, Val RMSE: 1.3165306, Pearson R: 0.7359084, Spearman R: 0.7467876
Epoch: 065, Train RMSE: 0.7579334, Val RMSE: 1.2855467, Pearson R: 0.7532299, Spearman R: 0.7614678
Epoch: 066, Train RMSE: 0.7073033, Val RMSE: 1.3516805, Pearson R: 0.7248664, Spearman R: 0.7348759
Epoch: 067, Train RMSE: 0.7257317, Val RMSE: 1.3381574, Pearson R: 0.7462906, Spearman R: 0.7547517
Epoch: 068, Train RMSE: 0.6939475, Val RMSE: 1.3187988, Pearson R: 0.7338487, Spearman R: 0.7396323
Epoch: 069, Train RMSE: 0.7004132, Val RMSE: 1.3325764, Pearson R: 0.7292251, Spearman R: 0.7332552
Epoch: 070, Train RMSE: 0.7356304, Val RMSE: 1.3032360, Pearson R: 0.7507226, Spearman R: 0.7589516
Epoch: 071, Train RMSE: 0.7238062, Val RMSE: 1.2910875, Pearson R: 0.7443999, Spearman R: 0.7508447
Epoch: 072, Train RMSE: 0.7041140, Val RMSE: 1.3748620, Pearson R: 0.7255516, Spearman R: 0.7347659
Epoch: 073, Train RMSE: 0.7400595, Val RMSE: 1.3041339, Pearson R: 0.7423269, Spearman R: 0.7464793
Epoch: 074, Train RMSE: 0.7150956, Val RMSE: 1.3379069, Pearson R: 0.7357290, Spearman R: 0.7411392
Epoch: 075, Train RMSE: 0.6981055, Val RMSE: 1.2946223, Pearson R: 0.7510711, Spearman R: 0.7596150
Epoch: 076, Train RMSE: 0.7046875, Val RMSE: 1.3139464, Pearson R: 0.7457682, Spearman R: 0.7564211
Epoch: 077, Train RMSE: 0.6975555, Val RMSE: 1.3689343, Pearson R: 0.7221373, Spearman R: 0.7226640
Epoch: 078, Train RMSE: 0.6956656, Val RMSE: 1.3404745, Pearson R: 0.7352546, Spearman R: 0.7365575
Epoch: 079, Train RMSE: 0.7066583, Val RMSE: 1.3274958, Pearson R: 0.7285053, Spearman R: 0.7357032
Best model saved at epoch 80 with val rmse: 1.2740644
Epoch: 080, Train RMSE: 0.6974540, Val RMSE: 1.2740644, Pearson R: 0.7547127, Spearman R: 0.7618686
Epoch: 081, Train RMSE: 0.7127142, Val RMSE: 1.3769973, Pearson R: 0.7177707, Spearman R: 0.7307580
Epoch: 082, Train RMSE: 0.6759250, Val RMSE: 1.3435704, Pearson R: 0.7438113, Spearman R: 0.7519288
Epoch: 083, Train RMSE: 0.7017072, Val RMSE: 1.3477413, Pearson R: 0.7394390, Spearman R: 0.7468612
Epoch: 084, Train RMSE: 0.6835521, Val RMSE: 1.3200641, Pearson R: 0.7510923, Spearman R: 0.7581498
Epoch: 085, Train RMSE: 0.6757816, Val RMSE: 1.4061178, Pearson R: 0.7358950, Spearman R: 0.7473950
Epoch: 086, Train RMSE: 0.6653568, Val RMSE: 1.3727250, Pearson R: 0.7378681, Spearman R: 0.7480641
Epoch: 087, Train RMSE: 0.7068131, Val RMSE: 1.2789219, Pearson R: 0.7541407, Spearman R: 0.7647283
Epoch: 088, Train RMSE: 0.6736904, Val RMSE: 1.2957987, Pearson R: 0.7492920, Spearman R: 0.7605493
Epoch: 089, Train RMSE: 0.6774992, Val RMSE: 1.4437892, Pearson R: 0.7489180, Spearman R: 0.7629662
Epoch: 090, Train RMSE: 0.7097358, Val RMSE: 1.3183433, Pearson R: 0.7500967, Spearman R: 0.7622745
Epoch: 091, Train RMSE: 0.6741438, Val RMSE: 1.3528730, Pearson R: 0.7546020, Spearman R: 0.7631771
Epoch: 092, Train RMSE: 0.6781141, Val RMSE: 1.3110345, Pearson R: 0.7541957, Spearman R: 0.7602884
Epoch: 093, Train RMSE: 0.6870639, Val RMSE: 1.3005022, Pearson R: 0.7530957, Spearman R: 0.7637573
Epoch: 094, Train RMSE: 0.7099662, Val RMSE: 1.4628189, Pearson R: 0.7520854, Spearman R: 0.7606576
Epoch: 095, Train RMSE: 0.7003821, Val RMSE: 1.3549394, Pearson R: 0.7511738, Spearman R: 0.7602563
Epoch: 096, Train RMSE: 0.6757927, Val RMSE: 1.4553383, Pearson R: 0.7189768, Spearman R: 0.7326182
Epoch: 097, Train RMSE: 0.6702312, Val RMSE: 1.3026137, Pearson R: 0.7387972, Spearman R: 0.7508781
Epoch: 098, Train RMSE: 0.6807118, Val RMSE: 1.3222918, Pearson R: 0.7503667, Spearman R: 0.7583609
Epoch: 099, Train RMSE: 0.6395067, Val RMSE: 1.2847598, Pearson R: 0.7508483, Spearman R: 0.7616398
Best model saved at epoch 100 with val rmse: 1.2679671
Epoch: 100, Train RMSE: 0.6443759, Val RMSE: 1.2679671, Pearson R: 0.7551304, Spearman R: 0.7651022
Epoch: 101, Train RMSE: 0.6463217, Val RMSE: 1.2959971, Pearson R: 0.7527802, Spearman R: 0.7648618
Epoch: 102, Train RMSE: 0.6494516, Val RMSE: 1.3341456, Pearson R: 0.7565060, Spearman R: 0.7641416
Best model saved at epoch 103 with val rmse: 1.2632347
Epoch: 103, Train RMSE: 0.6603545, Val RMSE: 1.2632347, Pearson R: 0.7571932, Spearman R: 0.7637272
Epoch: 104, Train RMSE: 0.6861352, Val RMSE: 1.2719712, Pearson R: 0.7527613, Spearman R: 0.7576139
Epoch: 105, Train RMSE: 0.6559531, Val RMSE: 1.2815256, Pearson R: 0.7516112, Spearman R: 0.7620797
Epoch: 106, Train RMSE: 0.6409863, Val RMSE: 1.3454929, Pearson R: 0.7337876, Spearman R: 0.7403460
Epoch: 107, Train RMSE: 0.6250660, Val RMSE: 1.2813355, Pearson R: 0.7521059, Spearman R: 0.7639096
Best model saved at epoch 108 with val rmse: 1.2517988
Epoch: 108, Train RMSE: 0.6547520, Val RMSE: 1.2517988, Pearson R: 0.7628778, Spearman R: 0.7695225
Epoch: 109, Train RMSE: 0.6777499, Val RMSE: 1.3311079, Pearson R: 0.7460829, Spearman R: 0.7560149
Epoch: 110, Train RMSE: 0.6841783, Val RMSE: 1.3542467, Pearson R: 0.7397474, Spearman R: 0.7557590
Epoch: 111, Train RMSE: 0.6858037, Val RMSE: 1.3018217, Pearson R: 0.7465419, Spearman R: 0.7533559
Epoch: 112, Train RMSE: 0.6562462, Val RMSE: 1.2567791, Pearson R: 0.7609720, Spearman R: 0.7715860
Epoch: 113, Train RMSE: 0.5969754, Val RMSE: 1.3060885, Pearson R: 0.7528116, Spearman R: 0.7649236
Epoch: 114, Train RMSE: 0.6279365, Val RMSE: 1.3387463, Pearson R: 0.7471967, Spearman R: 0.7576714
Epoch: 115, Train RMSE: 0.6649412, Val RMSE: 1.2709563, Pearson R: 0.7602336, Spearman R: 0.7698224
Epoch: 116, Train RMSE: 0.6706563, Val RMSE: 1.2652921, Pearson R: 0.7594831, Spearman R: 0.7698979
Epoch: 117, Train RMSE: 0.6365302, Val RMSE: 1.3381822, Pearson R: 0.7386816, Spearman R: 0.7475522
Epoch: 118, Train RMSE: 0.6619934, Val RMSE: 1.2655723, Pearson R: 0.7609899, Spearman R: 0.7730291
Epoch: 119, Train RMSE: 0.6009539, Val RMSE: 1.3235071, Pearson R: 0.7503124, Spearman R: 0.7577303
