Model,CASF2016 RMSE,CASF2016 R,CASF2016 Spea
g-d-c | 0,1.0963116884231567,0.8719791175015184,0.7368421052631577
g-d-c | 1,1.118766188621521,0.8696157266652168,0.7614035087719296
g-d-c | 2,1.106005311012268,0.8680638291471109,0.7368421052631577
Mean,1.1070277293523152,0.8698862244379487,0.7450292397660817
Std,0.011262111224638733,0.0019716103845155,0.014180532927464472
