Model,test2016 RMSE,test2016 MAE
q2q2 | 0,1.0963118076324463,0.8564897775650024
q2q2 | 1,1.1187663078308105,0.8751886487007141
q2q2 | 2,1.106005311012268,0.8595674633979797
Mean,1.107027808825175,0.8637486298878988
Std,0.011262116635989644,0.010026143842465264
