Model,Valid RMSE,Valid R,Valid Spea,Test2013 RMSE,Test2013 R,Test2013 Spea,Test2016 RMSE,Test2016 R,Test2016 Spea,Test2019 RMSE,Test2019 R,Test2019 Spea,CSAR RMSE,CSAR R,CSAR Spea,CASF2016 RMSE,CASF2016 R,CASF2016 Spea
repeat0 | 0,1.1859989166259766,0.7673598106756857,0.7578215827985799,1.2425544261932373,0.8611130472489755,0.8618271691677309,1.0963118076324463,0.8719791107553738,0.8673668506963089,1.3463443517684937,0.6640471935425831,0.6495021266137925,1.4776214361190796,0.8824836039464883,0.8813186813186813,1.0963118076324463,0.8719791046571148,0.8673668506963089
repeat1 | 1,1.2006994485855103,0.7603999241586329,0.7474342203006304,1.2707469463348389,0.8575833253414102,0.8568650463730868,1.118766188621521,0.8696157295408302,0.8650885162440662,1.334604024887085,0.6683076496986253,0.6561859713710975,1.3619420528411865,0.9106439199872782,0.8549450549450549,1.1187663078308105,0.8696157115831891,0.8650885162440662
repeat2 | 2,1.1922292709350586,0.7642934030383342,0.7557183111848069,1.2728313207626343,0.8536635744785855,0.8594955102829821,1.106005311012268,0.8680638253926682,0.8671556058068235,1.3474217653274536,0.6619277174724353,0.649047814420537,1.3025271892547607,0.9105638334846323,0.8989010989010989,1.106005311012268,0.8680638231855473,0.8671556058068235
Mean,1.1929758787155151,0.7640177126242177,0.7536580380946724,1.2620442310969036,0.8574533156896571,0.8593959086079334,1.1070277690887451,0.8698862218962908,0.8665369909157329,1.3427900473276775,0.6647608535712145,0.6515786374684757,1.3806968927383423,0.9012304524727996,0.8783882783882784,1.107027808825175,0.8698862131419505,0.8665369909157329
Std,0.007378650103961873,0.0034881239923331593,0.005491618051212322,0.01691081090829294,0.003726437711992137,0.0024825603774200826,0.011262054510134675,0.001971608341843299,0.0012588547401023965,0.007109741735300238,0.003249287118745318,0.003996529014022208,0.08904104017767153,0.016235296446733657,0.02212405695317439,0.011262116635989644,0.0019716073570488555,0.0012588547401023965
