Model,CASF2016 RMSE,CASF2016 R,CASF2016 Spea
cheap-Atom3D_0 | 0,1.2224390506744385,0.8373754529877179,0.7298245614035087
cheap-Atom3D_0 | 1,1.262489914894104,0.8209579111906856,0.7122807017543858
cheap-Atom3D_0 | 2,1.264680027961731,0.8172387025762502,0.6912280701754384
Mean,1.249869664510091,0.825190688918218,0.7111111111111109
Std,0.023780834307542117,0.010714918793507298,0.019324808937846032
